latitude,longitude,year,week,fire_cnt_before,fire_before,fire_cnt_last_year,fire_last_year,fire_cnt_last_year_same_week,fire_last_year_same_week,Mandal_Nam,Dist_Name,confidence
16.12,78.62,2022,10,0.078431373,0.019607843,0.0,0.0,0,0,Kollapur,Nagarkurnool,80.93216658
16.12,78.63,2022,10,0.058823529,0.019607843,0.0,0.0,0,0,Kollapur,Nagarkurnool,60.93216658
16.12,78.64,2022,10,0.117647059,0.019607843,0.078431373,0.039215686,0,0,Kollapur,Nagarkurnool,86.0
16.12,78.65,2022,10,0.058823529,0.019607843,0.058823529,0.039215686,0,0,Kollapur,Nagarkurnool,60.93216658
16.12,78.66,2022,10,0.058823529,0.019607843,0.039215686,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.12,78.67,2022,9,0.058823529,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.12,78.69,2022,11,0.078431373,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,80.93216658
16.12,78.7,2022,9,0.058823529,0.019607843,0.117647059,0.039215686,0,0,Amrabad,Nagarkurnool,60.93216658
16.12,78.72,2022,10,0.117647059,0.039215686,0.0,0.0,0,0,Amrabad,Nagarkurnool,85.0
16.12,78.73,2022,10,0.137254902,0.039215686,0.058823529,0.019607843,0,0,Amrabad,Nagarkurnool,86.0
16.12,78.74,2022,10,0.098039216,0.019607843,0.098039216,0.039215686,0,0,Amrabad,Nagarkurnool,85.0
16.13,78.53,2022,8,0.058823529,0.019607843,0.0,0.0,0,0,Kollapur,Nagarkurnool,60.93216658
16.13,78.61,2022,10,0.058823529,0.019607843,0.078431373,0.019607843,0,0,Kollapur,Nagarkurnool,60.93216658
16.13,78.63,2022,10,0.058823529,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.13,78.64,2022,10,0.176470588,0.019607843,0.058823529,0.019607843,0,0,Amrabad,Nagarkurnool,89.0
16.13,78.65,2022,10,0.176470588,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,89.0
16.13,78.66,2022,10,0.117647059,0.019607843,0.098039216,0.019607843,0,0,Amrabad,Nagarkurnool,86.0
16.13,78.7,2022,11,0.098039216,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,85.0
16.13,78.73,2022,10,0.156862745,0.039215686,0.117647059,0.019607843,0,0,Amrabad,Nagarkurnool,88.88637261
16.13,78.73,2022,11,0.156862745,0.039215686,0.117647059,0.019607843,0,0,Amrabad,Nagarkurnool,88.88637261
16.13,78.74,2022,10,0.058823529,0.019607843,0.058823529,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.13,78.75,2022,11,0.117647059,0.019607843,0.137254902,0.039215686,0,0,Amrabad,Nagarkurnool,86.0
