latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,duration,Mandal_Nam,Dist_Name,confidence
18.35168,80.59888,2023-02-26,7:45,1,VIIRS,2023,2,8,24h,Venkatapuram,Mulugu,50
18.35168,80.59888,2023-02-26,7:45,1,VIIRS,2023,2,8,48h,Venkatapuram,Mulugu,50
18.35168,80.59888,2023-02-26,7:45,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.35538,78.52206,2023-02-24,7:37,N,VIIRS,2023,2,8,7d,Machareddy,Kamareddy,50
18.35867,80.51359,2023-02-26,7:45,1,VIIRS,2023,2,8,24h,Venkatapuram,Mulugu,50
18.35867,80.51359,2023-02-26,7:45,1,VIIRS,2023,2,8,48h,Venkatapuram,Mulugu,50
18.35867,80.51359,2023-02-26,7:45,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.35964,78.46829,2023-02-26,8:37,N,VIIRS,2023,2,8,24h,Machareddy,Kamareddy,50
18.35964,78.46829,2023-02-26,8:37,N,VIIRS,2023,2,8,48h,Machareddy,Kamareddy,50
18.35964,78.46829,2023-02-26,8:37,N,VIIRS,2023,2,8,7d,Machareddy,Kamareddy,50
18.36404,78.15746,2023-02-27,5:20,T,MODIS,2023,2,9,24h,Tadwai,Kamareddy,66
18.36404,78.15746,2023-02-27,5:20,T,MODIS,2023,2,9,48h,Tadwai,Kamareddy,66
18.36404,78.15746,2023-02-27,5:20,T,MODIS,2023,2,9,7d,Tadwai,Kamareddy,66
18.36429,78.52178,2023-02-26,7:45,1,VIIRS,2023,2,8,24h,Machareddy,Kamareddy,50
18.36429,78.52178,2023-02-26,7:45,1,VIIRS,2023,2,8,48h,Machareddy,Kamareddy,50
18.36429,78.52178,2023-02-26,7:45,1,VIIRS,2023,2,8,7d,Machareddy,Kamareddy,50
18.36511,77.92017,2023-02-22,19:53,1,VIIRS,2023,2,8,7d,Banswada,Kamareddy,50
18.36516,78.51965,2023-02-26,8:37,N,VIIRS,2023,2,8,24h,Machareddy,Kamareddy,100
18.36516,78.51965,2023-02-26,8:37,N,VIIRS,2023,2,8,48h,Machareddy,Kamareddy,100
18.36516,78.51965,2023-02-26,8:37,N,VIIRS,2023,2,8,7d,Machareddy,Kamareddy,100
18.36939,78.04341,2023-02-21,8:32,N,VIIRS,2023,2,8,7d,Gandhari,Kamareddy,50
18.37502,80.6889,2023-02-26,6:58,N,VIIRS,2023,2,8,24h,Venkatapuram,Mulugu,100
18.37502,80.6889,2023-02-26,6:58,N,VIIRS,2023,2,8,48h,Venkatapuram,Mulugu,100
18.37502,80.6889,2023-02-26,6:58,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,100
18.37522,78.16309,2023-02-21,20:10,1,VIIRS,2023,2,8,7d,Tadwai,Kamareddy,50
18.37584,80.68623,2023-02-26,6:58,N,VIIRS,2023,2,8,24h,Venkatapuram,Mulugu,100
