latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,duration,REGIONNAME,HRname,confidence
6.72796,34.87807,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.72803,35.62284,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.73414,35.67157,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.73469,35.67529,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.7352,35.67436,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.73522,36.02555,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,100
6.73712,36.02428,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.73786,36.0286,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.7386,36.03291,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.73925,36.02419,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.73987,36.02856,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.74049,36.03288,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.74101,35.62745,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.742,36.02456,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.74269,36.02858,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.7434,36.03273,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.74421,36.91388,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.74512,35.99578,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.74865,36.03083,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.75013,36.91071,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.75274,36.90761,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.75335,36.91117,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.76134,34.94719,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.765,34.94297,2023-03-30,11:06,1,VIIRS,2023,3,13,24h,Gambela,Gambela,50
6.765,34.94297,2023-03-30,11:06,1,VIIRS,2023,3,13,48h,Gambela,Gambela,50
6.765,34.94297,2023-03-30,11:06,1,VIIRS,2023,3,13,7d,Gambela,Gambela,50
6.76916,34.89159,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,Gambela,Gambela,50
6.77725,35.50719,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.78411,36.02737,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.78471,36.0317,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.791,36.02735,2023-03-25,10:13,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.79192,36.02562,2023-03-25,11:00,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.79212,36.02424,2023-03-25,11:21,A,MODIS,2023,3,12,7d,SNNPR,SNNPR,75
6.79714,36.02477,2023-03-25,10:13,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.80253,35.9777,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.80311,35.98186,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.80646,35.12504,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.80671,35.97744,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.80695,35.12268,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.81329,35.96434,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
